"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HUR","MEN","PC_LF","A","2005",5.037436,
"NLD","HUR","MEN","PC_LF","A","2006",4.068785,
"NLD","HUR","MEN","PC_LF","A","2007",3.289138,
"NLD","HUR","MEN","PC_LF","A","2008",2.97724,
"NLD","HUR","MEN","PC_LF","A","2009",3.869509,
"NLD","HUR","MEN","PC_LF","A","2010",4.515946,
"NLD","HUR","MEN","PC_LF","A","2011",4.601452,
"NLD","HUR","MEN","PC_LF","A","2012",5.469067,
"NLD","HUR","MEN","PC_LF","A","2013",7.192367,
"NLD","HUR","MEN","PC_LF","A","2014",7.134919,
"NLD","HUR","MEN","PC_LF","A","2015",6.525611,
"NLD","HUR","MEN","PC_LF","A","2016",5.573468,
"NLD","HUR","MEN","PC_LF","A","2017",4.477647,
"NLD","HUR","MEN","PC_LF","A","2018",3.721625,
"IRL","HUR","MEN","PC_LF","A","2005",4.582891,
"IRL","HUR","MEN","PC_LF","A","2006",4.56117,"B"
"IRL","HUR","MEN","PC_LF","A","2007",5.019558,
"IRL","HUR","MEN","PC_LF","A","2008",7.602142,
"IRL","HUR","MEN","PC_LF","A","2009",15.08204,
"IRL","HUR","MEN","PC_LF","A","2010",17.06699,
"IRL","HUR","MEN","PC_LF","A","2011",17.69298,
"IRL","HUR","MEN","PC_LF","A","2012",17.67723,
"IRL","HUR","MEN","PC_LF","A","2013",14.83426,
"IRL","HUR","MEN","PC_LF","A","2014",12.67496,
"IRL","HUR","MEN","PC_LF","A","2015",10.73452,
"IRL","HUR","MEN","PC_LF","A","2016",9.023996,
"IRL","HUR","MEN","PC_LF","A","2017",7.067681,"B"
"IRL","HUR","MEN","PC_LF","A","2018",5.782411,
"POL","HUR","MEN","PC_LF","A","2005",16.59253,
"POL","HUR","MEN","PC_LF","A","2006",12.96,
"POL","HUR","MEN","PC_LF","A","2007",8.997234,
"POL","HUR","MEN","PC_LF","A","2008",6.432962,
"POL","HUR","MEN","PC_LF","A","2009",7.758518,"B"
"POL","HUR","MEN","PC_LF","A","2010",9.328139,
"POL","HUR","MEN","PC_LF","A","2011",9.012192,
"POL","HUR","MEN","PC_LF","A","2012",9.421591,
"POL","HUR","MEN","PC_LF","A","2013",9.688151,
"POL","HUR","MEN","PC_LF","A","2014",8.50192,
"POL","HUR","MEN","PC_LF","A","2015",7.333911,
"POL","HUR","MEN","PC_LF","A","2016",6.109614,
"POL","HUR","MEN","PC_LF","A","2017",4.871879,
"POL","HUR","MEN","PC_LF","A","2018",3.843871,
"KOR","HUR","MEN","PC_LF","A","2005",3.991667,
"KOR","HUR","MEN","PC_LF","A","2006",3.875,
"KOR","HUR","MEN","PC_LF","A","2007",3.675,
"KOR","HUR","MEN","PC_LF","A","2008",3.558333,
"KOR","HUR","MEN","PC_LF","A","2009",4.083333,
"KOR","HUR","MEN","PC_LF","A","2010",3.975,
"KOR","HUR","MEN","PC_LF","A","2011",3.608333,
"KOR","HUR","MEN","PC_LF","A","2012",3.383333,
"KOR","HUR","MEN","PC_LF","A","2013",3.275,
"KOR","HUR","MEN","PC_LF","A","2014",3.516667,
